"PercentVar","SimulationNo","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh"
"Var_001","759SummaryInfo.csv",12.786424956,0.5657452304,1.3768436021236,10.1905,0.499651,0.000225364,14.7413,0.618349,3.56471
"Var_001","75SummaryInfo.csv",9.56653472,0.5065664114,4.937995048558,6.22377,0.4096,1.16567,13.7018,0.615687,8.34934
"Var_001","760SummaryInfo.csv",10.63225326,0.5019093196,3.2009096294388,7.28823,0.415705,0.00561858,13.9509,0.589137,6.32166
"Var_001","761SummaryInfo.csv",6.409082812,0.379575827,7.4242409852,4.385,0.312045,4.40563,8.91056,0.457509,10.0603
"Var_001","762SummaryInfo.csv",10.247020606,0.495241361,3.4369019351592,6.98418,0.407139,0.00159567,13.7622,0.583795,6.55299
"Var_001","763SummaryInfo.csv",10.86648874,0.5349818648,3.664069957786,7.39484,0.441206,0.145341,14.7246,0.631311,6.73443
"Var_001","764SummaryInfo.csv",12.765046062,0.5898997738,2.3356421529174,9.24916,0.496108,0.00028189,15.9588,0.669342,5.31162
"Var_001","765SummaryInfo.csv",9.042597894,0.4600478746,4.547398337544,5.94278,0.375013,0.423964,12.9327,0.562461,7.71674
"Var_001","766SummaryInfo.csv",12.334291628,0.5541493414,1.8176550235192,9.30863,0.479235,0.000533493,14.7137,0.61756,4.48619
"Var_001","767SummaryInfo.csv",14.23507079,0.632715094,1.2817634910514,11.4728,0.564485,0.000518347,16.3465,0.692657,3.36674
"Var_001","768SummaryInfo.csv",9.682462038,0.4745780588,3.777194036556,6.51772,0.389986,0.0653453,13.2264,0.565385,6.87448
"Var_001","769SummaryInfo.csv",10.65135381,0.5098473168,3.005739577618,7.44599,0.419741,0.004433,13.9289,0.588783,6.02825
"Var_001","76SummaryInfo.csv",9.623290366,0.4794118978,3.8901174863802,6.60691,0.394765,0.286696,13.1681,0.567389,6.99073
"Var_001","770SummaryInfo.csv",14.56677628,0.6321506374,0.7834855700424,12.6384,0.581618,0.000124733,16.0988,0.677245,2.17134
"Var_001","771SummaryInfo.csv",7.084247636,0.4275358676,7.592034987,4.90043,0.350607,4.72919,9.70769,0.507836,10.0512
"Var_001","772SummaryInfo.csv",8.274846096,0.4523310394,5.474735976344,5.2109,0.36046,1.80795,11.8275,0.549221,8.91765
"Var_001","773SummaryInfo.csv",11.40847685,0.5434571838,3.272918815702,7.89918,0.447437,0.00539024,15.0493,0.633337,6.28514
"Var_001","774SummaryInfo.csv",8.866060736,0.4578347996,4.708557149066,5.79336,0.364325,0.862857,12.8201,0.555886,8.24525
"Var_001","775SummaryInfo.csv",10.614646642,0.4917176496,2.730621158434,7.47021,0.406125,0.00329625,13.5718,0.563687,5.81532
"Var_001","776SummaryInfo.csv",10.388646352,0.5125369102,4.013322813582,6.98205,0.419857,0.369424,14.3349,0.613108,7.31904
"Var_001","777SummaryInfo.csv",7.270203428,0.4219712422,7.0852324768,4.8227,0.345282,4.11919,9.88896,0.504353,9.8079
"Var_001","778SummaryInfo.csv",11.155147208,0.5139352938,2.3295248853812,8.10361,0.435472,0.000177555,13.805,0.583599,5.19499
"Var_001","779SummaryInfo.csv",10.72613722,0.4954329554,2.6321697435206,7.59175,0.411744,0.000950543,13.572,0.56665,5.63889
"Var_001","77SummaryInfo.csv",6.930138078,0.4194974326,7.36472595178,4.68966,0.342514,4.40364,9.76452,0.505116,10.1577
"Var_001","780SummaryInfo.csv",11.102513288,0.5186888992,2.531600626326,7.90556,0.434071,0.00368313,14.0804,0.594248,5.60279
"Var_001","781SummaryInfo.csv",11.21940831,0.5146132094,2.18420700743,8.22692,0.434831,0.00101889,13.7383,0.57743,5.01289
"Var_001","782SummaryInfo.csv",9.866755428,0.4805882756,3.801192106014,6.53843,0.393597,0.00348017,13.5547,0.578728,6.94135
"Var_001","783SummaryInfo.csv",13.066451888,0.5876040854,1.755903608018,9.98366,0.511703,0.00029709,15.4789,0.65381,4.29419
"Var_001","784SummaryInfo.csv",12.152821158,0.5332966874,1.5768331587768,9.33242,0.466137,0.000923766,14.1697,0.590706,3.98645
"Var_001","785SummaryInfo.csv",8.552180734,0.4507424164,5.3738175058,5.43084,0.360501,1.28733,12.433,0.553166,8.69307
"Var_001","786SummaryInfo.csv",9.454542634,0.4561720864,3.87694749642,6.35158,0.371114,0.0158917,13.0818,0.545757,7.01078
"Var_001","787SummaryInfo.csv",10.613416324,0.5036263986,2.7040806049002,7.5491,0.4212,0.000564551,13.5375,0.577898,5.67969
"Var_001","788SummaryInfo.csv",12.484961498,0.5402716234,1.22427921805256,10.1419,0.484765,3.97898e-05,14.1493,0.588017,3.14148
"Var_001","789SummaryInfo.csv",12.47256862,0.55576608,1.6336445106392,9.57862,0.479483,0.000604686,14.6483,0.610106,4.10525
"Var_001","78SummaryInfo.csv",8.236012576,0.435152714,5.444269398514,5.15774,0.345833,1.66515,11.7716,0.532893,8.9156
"Var_001","790SummaryInfo.csv",10.819243868,0.53481103,3.709737048396,7.35414,0.439242,0.199192,14.7276,0.632886,6.95894
"Var_001","791SummaryInfo.csv",7.999880592,0.438979195,6.034241782034,5.28886,0.357672,2.38065,11.3379,0.532865,8.93506
"Var_001","792SummaryInfo.csv",8.138751528,0.4397133978,5.64206442844,5.45304,0.357907,2.08313,11.5513,0.532381,8.73687
